id,name,description,price,images,created_at,updated_at,rating,categories
321,"Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Na...","A premium beard growth oil formulated for thicker and longer beard growth, ideal for patchy and uneven beard care.",139005,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170142455_61FIk2+alhL._AC_UL320_.jpg""]",2025-02-10 06:49:02.91,2025-02-10 06:49:02.91,,"[""Fashion""]"
322,"Tote Bag, Backpack Bag Home Storage Tool Large Capacity for Birthdays(AA802)","A spacious and versatile tote bag that doubles as a backpack, perfect for home storage or daily use.",733576,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170145174_71bt6n8V3rL._AC_UL320_.jpg""]",2025-02-10 06:49:05.485,2025-02-10 06:49:05.485,,"[""Fashion""]"
323,Very First Sight Words Sentences Level 1,An engaging learning book designed to introduce young readers to basic sight words through simple sentences.,37068,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170148638_91+36GLYWYL._AC_UL320_.jpg""]",2025-02-10 06:49:08.95,2025-02-10 06:49:08.95,,"[""Fashion""]"
324,Razer Anzu Smart Glasses: Blue Light Filtering & Polarized Sunglass Lenses - Low Latency Audio - Built-in Mic & Speakers -...,"High-tech smart glasses featuring blue light filtering, polarized lenses, and built-in audio for a seamless experience.",5558347,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170152331_41WVbPJh4sL._AC_UL320_.jpg""]",2025-02-10 06:49:12.596,2025-02-10 06:49:12.596,,"[""Fashion""]"
325,Urban Forest Oliver Redwood RFID Blocking Leather Wallet for Men,"A sleek and stylish RFID-blocking leather wallet, offering security and elegance for modern men.",370680,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170155073_81t8p9YNZJL._AC_UL320_.jpg""]",2025-02-10 06:49:15.32,2025-02-10 06:49:15.32,,"[""Fashion""]"
326,ANZAILALA Ring Size Adjuster for Loose Rings - 4 Sizes Clear Ring Sizer Resizer Fit Spiral Silicone Tightener Set(4 Pcs),"A set of 4 clear silicone ring size adjusters, providing a secure fit for loose rings.",185155,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170157096_61DJZr11BUL._AC_UL320_.jpg""]",2025-02-10 06:49:17.371,2025-02-10 06:49:17.371,,"[""Fashion""]"
327,Cherry Blossom Wax Shoe Polish Black - 40gm | Leather Shoe Shiner,A high-quality black wax shoe polish that restores shine and protects leather footwear.,14086,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170158940_51NrPiibykS._AC_UL320_.jpg""]",2025-02-10 06:49:19.333,2025-02-10 06:49:19.333,,"[""Fashion""]"
328,Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | ...,"A luxury women's perfume gift set with four long-lasting fragrances, perfect for any occasion.",157354,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170165501_61Lf31rBHiL._AC_UL320_.jpg""]",2025-02-10 06:49:25.743,2025-02-10 06:49:25.743,,"[""Fashion""]"
329,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...","A durable stainless steel electric kettle with a 1.5-liter capacity, ideal for boiling water and making beverages.",230748,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170167402_51DGcy8eBCL._AC_UL320_.jpg""]",2025-02-10 06:49:27.699,2025-02-10 06:49:27.699,,"[""Fashion""]"
330,Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,A collection of 31 colorful fairy tale stories designed to teach moral values to young children.,14827,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170169730_7122h3jWvEL._AC_UL320_.jpg""]",2025-02-10 06:49:30.451,2025-02-10 06:49:30.451,,"[""Fashion""]"
331,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"A durable and stylish waterproof laptop backpack, perfect for work, school, or travel.",222223,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170172257_811AxL+qTpL._AC_UL320_.jpg""]",2025-02-10 06:49:32.5,2025-02-10 06:49:32.5,,"[""Fashion""]"
332,LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Royal Black color,"A premium PU leather watch organizer case with 12 slots, ideal for both men and women.",741175,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170174383_51Pnypc-w7L._AC_UL320_.jpg""]",2025-02-10 06:49:34.633,2025-02-10 06:49:34.633,,"[""Fashion""]"
333,FONHCOO Kids Blue Light Blocking Glasses Computer Glasses for Boys and Girls Age 3-15 with Glasses Strap,"Blue light blocking glasses designed for kids, reducing eye strain from screens with a secure strap.",926515,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170176391_61X8LY0FWxL._AC_UL320_.jpg""]",2025-02-10 06:49:36.601,2025-02-10 06:49:36.601,,"[""Fashion""]"
334,"Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Sli...","A breathable and non-slip sports headband, perfect for workouts, running, and gym use.",92485,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170178539_91MDsp3gyCL._AC_UL320_.jpg""]",2025-02-10 06:49:38.849,2025-02-10 06:49:38.849,,"[""Fashion""]"
335,"Mortein Insta5 Mosquito Repellent Liquid Refill - 45ml x 6 (Buy 4 Get 2 Free) | 100% Protection from Dengue Mosquitoes, Pa...",A mosquito repellent refill providing 100% protection from dengue mosquitoes with instant action.,57085,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170184073_61LTT8lFahL._AC_UL320_.jpg""]",2025-02-10 06:49:44.493,2025-02-10 06:49:44.493,,"[""Fashion""]"
336,"Colorbar Nail Polish Remover, 110ml",A gentle yet effective nail polish remover that quickly cleans nails without drying them out.,26874,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170186427_615XARbwNnL._AC_UL320_.jpg""]",2025-02-10 06:49:46.723,2025-02-10 06:49:46.723,,"[""Fashion""]"
337,GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC) - NO CD/CD,"A digital version of GTA 5 (PC) with email delivery, excluding online multiplayer and activation code.",370495,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170188377_71yy7hRlU5L._AC_UL320_.jpg""]",2025-02-10 06:49:48.673,2025-02-10 06:49:48.673,,"[""Fashion""]"
338,Solar System Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"A vibrant, laminated educational wall chart displaying the solar system, perfect for young learners.",34288,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170190411_91CVtALiGmL._AC_UL320_.jpg""]",2025-02-10 06:49:50.798,2025-02-10 06:49:50.798,,"[""Fashion""]"
339,SWADESI STUFF Black Dial Brown Leather Strap Stylish Analog Watch for Men,"A stylish analog watch featuring a black dial and brown leather strap, perfect for casual wear.",185340,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170192525_81HcHLv1JAL._AC_UL320_.jpg""]",2025-02-10 06:49:52.753,2025-02-10 06:49:52.753,,"[""Fashion""]"
340,Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar,"A pure 24k (999.9) gold bar weighing 2 grams, ideal for investment or gifting.",2446488,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170194650_61aRW4bh6UL._AC_UL320_.jpg""]",2025-02-10 06:49:54.969,2025-02-10 06:49:54.969,,"[""Fashion""]"
341,"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted","A set of 2 durable and lightweight 1L plastic water bottles, ideal for sports and daily use.",65240,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170196829_71ydpWFY-gL._AC_UL320_.jpg""]",2025-02-10 06:49:57.059,2025-02-10 06:49:57.059,,"[""Fashion""]"
342,crocs unisex-adult Bayaband Clog Clog,"A comfortable and stylish unisex clog from Crocs, featuring a lightweight and breathable design.",0,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170198782_61LCRvTH7BL._AC_UL320_.jpg""]",2025-02-10 06:49:59.103,2025-02-10 06:49:59.103,,"[""Fashion""]"
343,"ADAMO Digital Dial Stylish and Fashionable Wrist Smart Watch LED Band for Kids, Colorful Cartoon Character Super Hero Wate...","A fun and stylish LED smartwatch with cartoon character designs, perfect for kids.",184413,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170201609_61NFr1xspjL._AC_UL320_.jpg""]",2025-02-10 06:50:01.859,2025-02-10 06:50:01.859,,"[""Fashion""]"
344,Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,A trendy and spacious unicorn-themed school bag designed for girls with multiple compartments.,433510,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170203706_6144hnfQ3UL._AC_UL320_.jpg""]",2025-02-10 06:50:03.982,2025-02-10 06:50:03.982,,"[""Fashion""]"
345,Thrillz Silver Chain For Boys Silver Plated Chains For Boys Men Jewellery Alloy Silver Chain Mens Jewellery Necklace Chain...,"A stylish silver-plated chain for boys and men, crafted with high-quality alloy for a sleek look.",185155,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170205677_71YjXtPHFuL._AC_UL320_.jpg""]",2025-02-10 06:50:05.963,2025-02-10 06:50:05.963,,"[""Fashion""]"
346,Kids Board books- My First Library : Set of 10 Board Books (Box Set),"A box set of 10 engaging board books, designed to introduce early learning concepts to young children.",166806,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170207777_71QQdcAX20L._AC_UL320_.jpg""]",2025-02-10 06:50:08.02,2025-02-10 06:50:08.02,,"[""Fashion""]"
347,RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),"A durable door bottom sealing strip designed to prevent dust, insects, and cold air from entering.",92485,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170209980_61qbtDsPOoL._AC_UL320_.jpg""]",2025-02-10 06:50:10.218,2025-02-10 06:50:10.218,,"[""Fashion""]"
348,"NAVYSPORT Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size","A pack of 4 comfortable and cushioned cotton ankle socks, perfect for casual wear.",148087,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170212292_91DaQv7BQqL._AC_UL320_.jpg""]",2025-02-10 06:50:12.551,2025-02-10 06:50:12.551,,"[""Fashion""]"
349,"Ortho Joy Arch Support Gel Insoles for Walking, Sports |All Day Comfort Full Length Orthotics for Flat Feet, High Arch, Fo...",Full-length gel insoles offering arch support and enhanced comfort for walking and sports activities.,109351,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170214505_61BYUOeymAL._AC_UL320_.jpg""]",2025-02-10 06:50:14.915,2025-02-10 06:50:14.915,,"[""Fashion""]"
350,"Kraasa Casual Lace Up Sneaker, Men Casual Shoes","A stylish and comfortable casual sneaker with a lace-up design, perfect for everyday wear.",185155,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170216539_61q9kJgxAHL._AC_UL320_.jpg""]",2025-02-10 06:50:17.039,2025-02-10 06:50:17.039,,"[""Fashion""]"
351,American Tourister 78 cms Polypropylene Luggage- Suitcase(FO1 (0) 01 403_Highline Blue),"A durable and spacious polypropylene suitcase from American Tourister, ideal for travel.",1630992,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170218523_81w20LvtPlL._AC_UL320_.jpg""]",2025-02-10 06:50:18.7,2025-02-10 06:50:18.7,,"[""Fashion""]"
352,Minimalist 2% Alpha Arbutin Serum for Pigmentation & Dark Spots Removal | Anti-pigmentation Face Serum For Men & Women wit...,A powerful serum formulated with 2% alpha arbutin to reduce pigmentation and dark spots.,101752,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170222231_71k99aFH6CL._AC_UL320_.jpg""]",2025-02-10 06:50:22.571,2025-02-10 06:50:22.571,,"[""Fashion""]"
